,Month,Prediction,Actual,Crashes Avoided
0,2020_01,31,24,7
2329,2020_02,31,29,2
13,2020_03,35,25,10
23,2020_04,42,18,24
29,2020_05,37,21,16
42,2020_06,28,19,9
65,2020_07,35,19,16
78,2020_08,36,19,17
467,2020_09,41,16,25
269,2020_10,39,34,5
8963,2020_11,42,23,19
10802,2020_12,45,28,17
