,Month,Prediction,Actual,Crashes_Avoided
0,2020_01,51,32,19
8,2020_02,36,34,2
2329,2020_02,51,34,17
13,2020_03,32,36,-4
23,2020_04,50,28,22
29,2020_05,48,42,6
42,2020_06,40,37,3
65,2020_07,53,32,21
78,2020_08,44,36,8
467,2020_09,56,32,24
269,2020_10,40,47,-7
8952,2020_11,40,31,9
10791,2020_12,45,33,12
